No.;Time;Comment;Scramble;Date;P.1;P.2
92;DNF(22.03);;B2 R' U B' D' L2 U2 B L F2 D' F2 U B2 D' F2 L2 D L2 U Rw' Uw';2023-08-19 16:50:28;6.80;15.22
93;15.69;;D' L2 U' B2 U' R2 D' F2 R2 B2 F2 R B L D F2 R' F' U2 L D' Fw Uw2;2023-08-19 16:51:31;6.37;9.32
94;DNF(20.75);;R2 F R2 U2 B' D2 U2 B U2 B' F' D' F2 U' F' R F2 R2 D L' Fw' Uw;2023-08-19 16:51:53;5.81;14.94
95;DNF(14.67);;F D2 B L2 U2 F' D2 F' L2 F2 D' R B' F' R U' F U L D' B Fw Uw;2023-08-19 16:53:47;6.13;8.53
96;DNF(14.89);;R2 U F' L2 D L2 R2 U L2 U' L2 D' B L' F R F L2 R2;2023-08-19 16:54:16;6.59;8.29
97;DNF(30.86);;D2 L' F U R2 B2 U R' L2 U2 F U2 F U2 D2 F2 L2 F D2 B Rw Uw;2023-08-19 16:55:01;6.16;24.70
98;13.02;;R D R2 B2 U F2 D' B2 F2 D2 F2 R2 F L' U' R2 B F D' U' Fw Uw';2023-08-19 16:55:44;5.39;7.63
99;37.79;;R2 D2 F' D2 B2 L2 B' L2 U2 B' D F U2 B D L D F' R U Uw;2023-08-19 16:56:05;24.97;12.81
100;11.93;;B2 D F2 R2 B2 R2 D' F2 L2 R2 U R' F U L2 B F U' R U F' Uw;2023-08-19 16:56:50;6.11;5.82
101;DNF(19.28);;F2 L R2 F U2 F L2 U2 B2 L2 U2 F' D' F2 U B' U L D L Fw' Uw;2023-08-19 19:07:18;7.04;12.23
102;14.15;;R2 U' B2 L2 F D2 B' D2 L2 B U2 B2 L2 U2 R' F D2 R' U F' D Rw;2023-08-19 19:08:00;4.96;9.18
103;19.98;;L2 D B U2 B' L2 U2 F2 L2 F' U2 B D2 R2 D' B D B L' U B Uw;2023-08-19 19:08:23;6.39;13.59
104;DNF(25.09);;L2 B' R' F2 D2 F2 L' R2 B2 F2 U2 F2 L' U2 F' D B' U F2 R2 Fw;2023-08-19 19:08:52;9.26;15.83
